process_category,record_id,record_type,failure_mode,parameters,validation_outcome,source_file,tags,risk_level,root_cause_hint
Battery Process Optimization,PKAI-0001,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0001.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0002,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0002.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0003,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0003.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0004,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0004.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0005,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0005.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0006,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0006.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0007,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0007.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0008,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0008.md,"materials-characterization, qa_record, validation-threshold-miss",high,materials issue
Manufacturing QA,PKAI-0009,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,process_notes/manufacturing_qa/maintenance_log_0009.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0010,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0010.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",low,equipment/process issue
Failure Analysis,PKAI-0011,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0011.md,"failure-analysis, increased-defect-rate, validation_summary",low,materials issue
Validation Testing,PKAI-0012,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0012.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0013,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0013.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",high,materials issue
Materials Characterization,PKAI-0014,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0014.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0015,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0015.md,"maintenance_log, manufacturing-qa, yield-loss",low,equipment/process issue
Equipment Maintenance,PKAI-0016,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0016.md,"equipment-maintenance, failure_report, validation-threshold-miss",medium,materials issue
Failure Analysis,PKAI-0017,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0017.md,"coating-uniformity-drift, failure-analysis, validation_summary",low,equipment/process issue
Validation Testing,PKAI-0018,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0018.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0019,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0019.md,"battery-process-optimization, experiment_note, increased-defect-rate",low,equipment/process issue
Materials Characterization,PKAI-0020,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0020.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0021,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0021.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",low,materials issue
Equipment Maintenance,PKAI-0022,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0022.md,"equipment-maintenance, failure_report, sensor-anomaly",low,equipment/process issue
Failure Analysis,PKAI-0023,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0023.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0024,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0024.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0025,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0025.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0026,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0026.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0027,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,process_notes/manufacturing_qa/maintenance_log_0027.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0028,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0028.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0029,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0029.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0030,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0030.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
