record_id,title,process_category,record_type,date,owner,experiment_notes,failure_mode,parameters,validation_outcome,severity,tags,source_file
PKAI-0001,Battery Process Optimization experiment note 1,Battery Process Optimization,experiment_note,2024-01-08,R. Singh,Observed coating uniformity drift during run review. Equipment EQ-001 and material batch MB-2024-1000 were checked against the current validation threshold.,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,medium,"[""battery-process-optimization"", ""coating-uniformity-drift"", ""experiment_note""]",process_notes/battery_process_optimization/experiment_note_0001.md
PKAI-0002,Materials Characterization qa record 2,Materials Characterization,qa_record,2024-01-09,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1001.,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,low,"[""materials-characterization"", ""qa_record"", ""thermal-cycling-impedance-drift""]",process_notes/materials_characterization/qa_record_0002.md
PKAI-0003,Manufacturing QA maintenance log 3,Manufacturing QA,maintenance_log,2024-01-10,A. Patel,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-003.",increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,medium,"[""increased-defect-rate"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0003.md
PKAI-0004,Equipment Maintenance failure report 4,Equipment Maintenance,failure_report,2024-01-11,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,low,"[""calibration-offset"", ""equipment-maintenance"", ""failure_report""]",process_notes/equipment_maintenance/failure_report_0004.md
PKAI-0005,Failure Analysis validation summary 5,Failure Analysis,validation_summary,2024-01-12,R. Singh,Observed material batch inconsistency during run review. Equipment EQ-005 and material batch MB-2024-1004 were checked against the current validation threshold.,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,low,"[""failure-analysis"", ""material-batch-inconsistency"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0005.md
PKAI-0006,Validation Testing parameter change 6,Validation Testing,parameter_change,2024-01-13,J. Rivera,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1005.,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,medium,"[""parameter_change"", ""sensor-anomaly"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0006.md
PKAI-0007,Battery Process Optimization experiment note 7,Battery Process Optimization,experiment_note,2024-01-14,M. Chen,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-007.",yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,low,"[""battery-process-optimization"", ""experiment_note"", ""yield-loss""]",process_notes/battery_process_optimization/experiment_note_0007.md
PKAI-0008,Materials Characterization qa record 8,Materials Characterization,qa_record,2024-01-15,M. Chen,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,high,"[""materials-characterization"", ""qa_record"", ""validation-threshold-miss""]",process_notes/materials_characterization/qa_record_0008.md
PKAI-0009,Manufacturing QA maintenance log 9,Manufacturing QA,maintenance_log,2024-01-16,M. Chen,Observed coating uniformity drift during run review. Equipment EQ-009 and material batch MB-2024-1008 were checked against the current validation threshold.,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,high,"[""coating-uniformity-drift"", ""maintenance_log"", ""manufacturing-qa""]",process_notes/manufacturing_qa/maintenance_log_0009.md
PKAI-0010,Equipment Maintenance failure report 10,Equipment Maintenance,failure_report,2024-01-17,A. Patel,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1009.,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,low,"[""equipment-maintenance"", ""failure_report"", ""thermal-cycling-impedance-drift""]",process_notes/equipment_maintenance/failure_report_0010.md
PKAI-0011,Failure Analysis validation summary 11,Failure Analysis,validation_summary,2024-01-18,J. Rivera,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-011.",increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""failure-analysis"", ""increased-defect-rate"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0011.md
PKAI-0012,Validation Testing parameter change 12,Validation Testing,parameter_change,2024-01-19,J. Rivera,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,medium,"[""calibration-offset"", ""parameter_change"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0012.md
PKAI-0013,Battery Process Optimization experiment note 13,Battery Process Optimization,experiment_note,2024-01-20,A. Patel,Observed material batch inconsistency during run review. Equipment EQ-013 and material batch MB-2024-1012 were checked against the current validation threshold.,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,high,"[""battery-process-optimization"", ""experiment_note"", ""material-batch-inconsistency""]",process_notes/battery_process_optimization/experiment_note_0013.md
PKAI-0014,Materials Characterization qa record 14,Materials Characterization,qa_record,2024-01-21,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1013.,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,medium,"[""materials-characterization"", ""qa_record"", ""sensor-anomaly""]",process_notes/materials_characterization/qa_record_0014.md
PKAI-0015,Manufacturing QA maintenance log 15,Manufacturing QA,maintenance_log,2024-01-22,N. Brooks,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-015.",yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""yield-loss""]",process_notes/manufacturing_qa/maintenance_log_0015.md
PKAI-0016,Equipment Maintenance failure report 16,Equipment Maintenance,failure_report,2024-01-23,M. Chen,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,medium,"[""equipment-maintenance"", ""failure_report"", ""validation-threshold-miss""]",process_notes/equipment_maintenance/failure_report_0016.md
PKAI-0017,Failure Analysis validation summary 17,Failure Analysis,validation_summary,2024-01-24,M. Chen,Observed coating uniformity drift during run review. Equipment EQ-017 and material batch MB-2024-1016 were checked against the current validation threshold.,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,low,"[""coating-uniformity-drift"", ""failure-analysis"", ""validation_summary""]",process_notes/failure_analysis/validation_summary_0017.md
PKAI-0018,Validation Testing parameter change 18,Validation Testing,parameter_change,2024-01-25,R. Singh,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1017.,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,medium,"[""parameter_change"", ""thermal-cycling-impedance-drift"", ""validation-testing""]",process_notes/validation_testing/parameter_change_0018.md
PKAI-0019,Battery Process Optimization experiment note 19,Battery Process Optimization,experiment_note,2024-01-26,N. Brooks,"Thermal cycling showed impedance drift trend. Calibration records, sensor readings, and maintenance notes were compared for EQ-001.",increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,low,"[""battery-process-optimization"", ""experiment_note"", ""increased-defect-rate""]",process_notes/battery_process_optimization/experiment_note_0019.md
PKAI-0020,Materials Characterization qa record 20,Materials Characterization,qa_record,2024-01-27,M. Chen,Manufacturing QA flagged yield loss and sensor anomalies. Batch variance and material consistency were reviewed before validation signoff.,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,high,"[""calibration-offset"", ""materials-characterization"", ""qa_record""]",process_notes/materials_characterization/qa_record_0020.md
PKAI-0021,Manufacturing QA maintenance log 21,Manufacturing QA,maintenance_log,2024-01-28,R. Singh,Observed material batch inconsistency during run review. Equipment EQ-003 and material batch MB-2024-1020 were checked against the current validation threshold.,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,low,"[""maintenance_log"", ""manufacturing-qa"", ""material-batch-inconsistency""]",process_notes/manufacturing_qa/maintenance_log_0021.md
PKAI-0022,Equipment Maintenance failure report 22,Equipment Maintenance,failure_report,2024-01-29,N. Brooks,Team adjusted parameter change settings after coating uniformity and defect rate moved outside the expected window for MB-2025-1021.,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,low,"[""equipment-maintenance"", ""failure_report"", ""sensor-anomaly""]",process_notes/equipment_maintenance/failure_report_0022.md
